                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.76195,                0.58135,                0.98628,                0.86701,                0.66172,                0.71892,                0.56866,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     68,                0.75828,                0.57686,                0.98491,                0.88156,                 0.6503,                0.70863,                0.55612,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     69,                0.75149,                0.57339,                0.97736,                0.86554,                0.64181,                0.70132,                0.55205,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                     70,                0.74761,                0.56762,                0.97955,                0.87916,                0.65619,                0.71734,                0.56922,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     71,                0.74864,                0.56902,                 0.9828,                0.87161,                0.65896,                0.72199,                0.57498,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                     72,                0.74474,                 0.5689,                 0.9802,                0.88369,                0.64443,                0.71273,                0.56791,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     73,                0.73867,                0.55469,                0.97354,                0.86773,                0.65209,                0.70832,                0.56066,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                     74,                 0.7397,                0.55796,                0.97725,                0.89504,                0.64139,                0.71381,                0.56662,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     75,                 0.7298,                0.54867,                0.97493,                 0.8826,                0.65129,                0.71556,                0.56704,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                     76,                0.72147,                0.54006,                0.96961,                0.88296,                0.65032,                0.71371,                0.56627,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                     77,                0.72307,                0.54232,                0.96812,                0.88716,                0.64521,                0.70698,                0.56287,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     78,                0.72906,                0.54531,                0.97294,                0.89718,                0.64548,                0.71347,                0.56869,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     79,                0.72256,                0.53771,                0.96583,                0.88454,                 0.6431,                0.71523,                0.57111,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                     80,                0.71684,                0.53255,                0.96707,                0.86304,                0.65096,                  0.708,                0.56508,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                     81,                0.71297,                0.52882,                0.96474,                0.87852,                0.64567,                 0.7067,                0.56417,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                     82,                0.70502,                0.52259,                 0.9614,                0.87717,                0.64974,                0.70666,                0.56396,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     83,                0.70348,                0.52041,                0.96021,                0.89348,                0.63501,                0.70279,                0.56069,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                     84,                0.69539,                0.51618,                0.95778,                0.88842,                0.63844,                 0.7062,                0.56464,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                     85,                0.69232,                0.51032,                0.95604,                0.88171,                0.64451,                0.70716,                0.56536,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
                     86,                0.69631,                0.50991,                0.95777,                0.88543,                0.63818,                0.70384,                0.56175,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     87,                0.68589,                0.50737,                0.95496,                0.89235,                0.63439,                0.70209,                0.56244,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     88,                0.68915,                 0.5103,                0.95808,                0.88552,                0.63818,                0.70305,                0.56355,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                     89,                 0.6854,                0.50257,                0.95344,                0.87628,                0.65078,                0.70772,                0.56819,                    nan,                    nan,                    nan,               0.001387,               0.001387,               0.001387
                     90,                 0.6803,                0.49548,                0.95162,                0.88418,                0.64771,                0.70775,                0.56823,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     91,                0.63042,                0.40677,                0.91837,                0.87552,                0.64564,                0.70031,                0.56229,                    nan,                    nan,                    nan,               0.001189,               0.001189,               0.001189
                     92,                0.61396,                0.39705,                0.91361,                 0.8884,                0.63918,                0.70203,                0.56374,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     93,                0.61464,                0.39641,                0.91625,                0.89386,                0.64365,                0.70671,                0.56845,                    nan,                    nan,                    nan,               0.000991,               0.000991,               0.000991
                     94,                0.61041,                0.39169,                0.91513,                0.90458,                0.63939,                0.70942,                 0.5706,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     95,                0.60391,                0.38297,                0.91323,                0.88372,                0.65051,                0.70821,                 0.5701,                    nan,                    nan,                    nan,               0.000793,               0.000793,               0.000793
                     96,                0.59914,                0.38405,                0.90794,                0.89589,                0.64458,                0.71022,                0.57165,                    nan,                    nan,                    nan,               0.000694,               0.000694,               0.000694
                     97,                0.59926,                0.37644,                0.91064,                 0.9042,                0.63838,                0.70903,                0.57134,                    nan,                    nan,                    nan,               0.000595,               0.000595,               0.000595
                     98,                0.59524,                0.37513,                0.90874,                0.90498,                 0.6392,                0.70899,                0.57148,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
                     99,                 0.5899,                0.37148,                0.90496,                0.90852,                0.63549,                0.70765,                0.57015,                    nan,                    nan,                    nan,               0.000397,               0.000397,               0.000397
                    100,                0.58566,                0.36847,                0.90404,                0.90749,                0.63452,                0.70676,                0.56974,                    nan,                    nan,                    nan,               0.000298,               0.000298,               0.000298
